codigo,latitude,longitude,altitude,nome,estado,municipio,responsavel,ultima_att,tipo
2149067,-21.8,-49.6,440,CAFELÂNDIA (EFNOB),SÃO PAULO,CAFELÂNDIA,DAEE-SP,2005-07-11 00:00:00,2
2149068,-21.7,-49.6833,460,MONLEVADE (EFNOB),SÃO PAULO,LINS,DAEE-SP,2005-07-11 00:00:00,2
2149069,-21.5333,-49.8667,420,PROMISSÃO,SÃO PAULO,PROMISSÃO,DAEE-SP,2005-04-27 00:00:00,2
2149070,-21.4667,-49.95,460,AVANHANDAVA (EFNOB),SÃO PAULO,AVANHANDAVA,DAEE-SP,2005-07-11 00:00:00,2
2149071,-21.55,-49.4167,420,FAZENDA BOM JESUS,SÃO PAULO,CAFELÂNDIA,DAEE-SP,2005-07-11 00:00:00,2
2149072,-21.45,-49.5333,430,FAZENDA ESPLANADA,SÃO PAULO,SALES,DAEE-SP,2005-07-11 00:00:00,2
2149073,-21.6167,-49.0667,400,BORBOREMA (CPEF),SÃO PAULO,BORBOREMA,DAEE-SP,2005-07-11 00:00:00,2
2149074,-21.85,-49.7,480,FAZENDA SÃO LUIZ,SÃO PAULO,CAFELÂNDIA,DAEE-SP,2005-07-11 00:00:00,2
2149075,-21.4333,-49.25,460,FAZENDA SANTANA,SÃO PAULO,NOVO HORIZONTE,DAEE-SP,2005-07-11 00:00:00,2
2149077,-21.4333,-49.1,500,FAZENDA UIRAPURU,SÃO PAULO,NOVO HORIZONTE,DAEE-SP,2005-04-27 00:00:00,2
2149078,-21.1,-49.1833,420,TERMAS DE IBIRA,SÃO PAULO,IBIRA,DAEE-SP,2005-04-27 00:00:00,2
2149079,-21.05,-49.9667,400,SÃO JERÔNIMO,SÃO PAULO,PLANALTO,DAEE-SP,2005-04-27 00:00:00,2
2149080,-21.1667,-49.1167,500,ELISIÁRIO,SÃO PAULO,CATANDUVA,DAEE-SP,2005-07-08 00:00:00,2
2149081,-21.9833,-49.45,480,PIRAJUI,SÃO PAULO,PIRAJUÍ,DAEE-SP,2005-04-27 00:00:00,2
2149083,-21.4,-49.7167,400,FAZENDA AMÁLIA,SÃO PAULO,PROMISSÃO,DAEE-SP,2005-07-11 00:00:00,2
2149084,-21.5833,-49.5,400,FAZENDA MAÇUQUINHO,SÃO PAULO,SABINO,DAEE-SP,2005-07-11 00:00:00,2
2149085,-21.9833,-49.8167,480,FAZENDA SANTA LUCILA,SÃO PAULO,JÚLIO MESQUITA,DAEE-SP,2005-07-11 00:00:00,2
2149086,-21.8,-49.45,450,FAZENDA SANTA RITA,SÃO PAULO,GUARANTA,DAEE-SP,2005-07-11 00:00:00,2
2149087,-21.9333,-49.9333,450,FAZENDA SANTA IRENE,SÃO PAULO,GUAIMBÊ,DAEE-SP,2005-07-11 00:00:00,2
2149091,-21.35,-49.4833,450,SALES,SÃO PAULO,SALES,DAEE-SP,2005-07-11 00:00:00,2
2149092,-21.45,-49.7833,410,DINIZIA,SÃO PAULO,PROMISSÃO,DAEE-SP,2005-07-11 00:00:00,2
2149093,-21.4833,-49.75,440,ALTOLIN0,SÃO PAULO,PROMISSÃO,DAEE-SP,2005-07-11 00:00:00,2
2149094,-21,-49,,GRANJA SETE DE SETEMBRO,SÃO PAULO,LINS,DAEE-SP,2005-07-11 00:00:00,2
2149095,-21.3667,-49.8833,410,BAIRRO DO FARELO,SÃO PAULO,AVANHANDAVA,DAEE-SP,2005-07-11 00:00:00,2
2149096,-21.9,-49,,IACANGA (PORTO UMBELINA),SÃO PAULO,IACANGA,ANA,2005-07-11 00:00:00,2
2149097,-21.7139,-49.7203,542,UHE PROMISSÃO LINS,SÃO PAULO,LINS,AES TIETÊ,2015-08-05 00:00:00,2
2149098,-21.0739,-49.6661,472,UHE NOVA AVANHANDAVA JOSÉ BONIFÁCIO,SÃO PAULO,JOSÉ BONIFÁCIO,AES TIETÊ,2021-02-23 00:00:00,2
2149099,-21.2039,-49.8792,365,UHE NOVA AVANHANDAVA RIBEIRÃO DA CORREDEIRA,SÃO PAULO,JOSÉ BONIFÁCIO,AES TIETÊ,2021-02-23 00:00:00,2
2149100,-21.2967,-49.7839,387.5,UHE PROMISSÃO BARRAMENTO,SÃO PAULO,PROMISSÃO,AES TIETÊ,2019-05-07 00:00:00,2
2149101,-21.7211,-49.5606,387,UHE PROMISSÃO RIO DOURADO,SÃO PAULO,CAFELÂNDIA,AES TIETÊ,2015-08-05 00:00:00,2
2149102,-21.8031,-49.61,455,CAFELÂNDIA_Av. Jacob Zucchi,SÃO PAULO,CAFELÂNDIA,CEMADEN,2015-11-06 00:00:00,2
2149103,-21.3572,-49.8444,367,UHE NOVA AVANHANDAVA RIBEIRÃO DOS PATOS,SÃO PAULO,PROMISSÃO,AES TIETÊ,2021-02-23 00:00:00,2
2149104,-21.9531,-49.0269,419,UHE IBITINGA RIBEIRÃO CLARO,SÃO PAULO,IACANGA,AES TIETÊ,2021-09-02 00:00:00,2
2150001,-21.05,-50.4667,320,DESTIVALE,SÃO PAULO,ARAÇATUBA,DAEE-SP,2005-04-27 00:00:00,2
2150002,-21.2833,-50.3333,380,BIRIGUI (ACCO),SÃO PAULO,BIRIGUI,DAEE-SP,2005-07-11 00:00:00,2
2150003,-21,-50.9167,400,FAZENDA SANTA TEREZINHA,SÃO PAULO,LAVÍNIA,DAEE-SP,2005-04-27 00:00:00,2
2150004,-21.0833,-50.3833,380,FAZENDA SANTA CECÍLIA,SÃO PAULO,ARAÇATUBA,DAEE-SP,2005-04-27 00:00:00,2
2150005,-21.1167,-50.1833,320,PORTO RUI BARBOSA,SÃO PAULO,COROADOS,DAEE-SP,2005-07-11 00:00:00,2
2150006,-21.1167,-50.8333,380,FAZENDA N.S. PERPETUO SOCORRO,SÃO PAULO,VALPARAÍSO,DAEE-SP,2005-04-27 00:00:00,2
2150007,-21.15,-50.1833,370,FAZENDA BREJO ALEGRE,SÃO PAULO,COROADOS,DAEE-SP,2005-07-11 00:00:00,2
2150008,-21.1667,-50.2333,370,FAZENDA SÃO JOÃO,SÃO PAULO,COROADOS,DAEE-SP,2005-04-27 00:00:00,2
2150009,-21.2,-50.4167,370,ARAÇATUBA (EMSA),SÃO PAULO,ARAÇATUBA,DAEE-SP,2006-02-01 00:00:00,2
2150010,-21.2,-50.45,390,ARAÇATUBA,SÃO PAULO,ARAÇATUBA,DAEE-SP,2006-02-01 00:00:00,2
2150011,-21.2333,-50.8667,440,VALPARAÍSO (ACCO),SÃO PAULO,VALPARAÍSO,DAEE-SP,2005-07-11 00:00:00,2
2150012,-21.25,-50.3833,400,GUATAMBU,SÃO PAULO,BIRIGUI,DAEE-SP,2005-07-11 00:00:00,2
2150013,-21.2667,-50.6333,410,GUARARAPES,SÃO PAULO,GUARARAPES,DAEE-SP,2005-04-27 00:00:00,2
2150014,-21.3167,-50.8667,430,FAZENDA SANTA ALICE,SÃO PAULO,BENTO DE ABREU,DAEE-SP,2005-04-27 00:00:00,2
2150015,-21.2833,-50.3333,390,BIRIGUI,SÃO PAULO,BIRIGUI,DAEE-SP,2005-04-27 00:00:00,2
2150016,-21.3333,-50.3667,430,FAZENDA TRÊS MARIAS,SÃO PAULO,BIRIGUI,DAEE-SP,2005-04-27 00:00:00,2
